utterance,cypher
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Who directed the movie 'Gravity'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gravity'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'The Revenant'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Revenant'}) RETURN p.name AS actor;
Who directed the movie 'WALL·E'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'WALL·E'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'The Shawshank Redemption'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN p.name AS actor;
Find all people born in 2019.,MATCH (p:Person) WHERE p.born = 2019 RETURN p.name AS person;
List actors who have acted with Will Smith.,MATCH (p1:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2022.,MATCH (p:Person) WHERE p.born = 2022 RETURN p.name AS person;
List all movies released in 1988.,MATCH (m:Movie) WHERE m.released = 1988 RETURN m.title AS title;
Find all people born in 2023.,MATCH (p:Person) WHERE p.born = 2023 RETURN p.name AS person;
Who follows Ana de Armas?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Ana de Armas'}) RETURN follower.name AS follower;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
How many movies has Will Smith acted in?,MATCH (:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Gal Gadot.,MATCH (p1:Person {name: 'Gal Gadot'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Anne Hathaway acted in?,MATCH (:Person {name: 'Anne Hathaway'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Toy Story'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Toy Story'}) RETURN d.name AS director;
List actors who have acted with George Clooney.,MATCH (p1:Person {name: 'George Clooney'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Leonardo DiCaprio.,MATCH (p1:Person {name: 'Leonardo DiCaprio'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Chadwick Boseman acted in?,MATCH (:Person {name: 'Chadwick Boseman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Her'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Her'}) RETURN p.name AS actor;
List all movies released in 1978.,MATCH (m:Movie) WHERE m.released = 1978 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows Will Smith?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Will Smith'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Which actors acted in 'The Wolf of Wall Street'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Wolf of Wall Street'}) RETURN p.name AS actor;
Which actors acted in 'The Shawshank Redemption'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN p.name AS actor;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
How many movies has Daniel Kaluuya acted in?,MATCH (:Person {name: 'Daniel Kaluuya'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Tessa Thompson.,MATCH (p1:Person {name: 'Tessa Thompson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
How many movies has John Boyega acted in?,MATCH (:Person {name: 'John Boyega'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Priyanka Chopra.,MATCH (p1:Person {name: 'Priyanka Chopra'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Who follows Keanu Reeves?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Keanu Reeves'}) RETURN follower.name AS follower;
Who directed the movie 'Spirited Away'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Spirited Away'}) RETURN d.name AS director;
Find all people born in 1984.,MATCH (p:Person) WHERE p.born = 1984 RETURN p.name AS person;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Mad Max: Fury Road'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN p.name AS actor;
List all movies released in 1972.,MATCH (m:Movie) WHERE m.released = 1972 RETURN m.title AS title;
How many movies has Natalie Portman acted in?,MATCH (:Person {name: 'Natalie Portman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 1992.,MATCH (p:Person) WHERE p.born = 1992 RETURN p.name AS person;
How many movies has Margot Robbie acted in?,MATCH (:Person {name: 'Margot Robbie'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'Saving Private Ryan'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Saving Private Ryan'}) RETURN p.name AS actor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Florence Pugh.,MATCH (p1:Person {name: 'Florence Pugh'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Titanic'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Titanic'}) RETURN p.name AS actor;
Which actors acted in 'Fight Club'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Fight Club'}) RETURN p.name AS actor;
Who follows Cate Blanchett?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Cate Blanchett'}) RETURN follower.name AS follower;
Who follows John Boyega?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'John Boyega'}) RETURN follower.name AS follower;
Who directed the movie 'Her'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Her'}) RETURN d.name AS director;
Who follows Robert Downey Jr.?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Robert Downey Jr.'}) RETURN follower.name AS follower;
Who directed the movie 'Gravity'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gravity'}) RETURN d.name AS director;
Find all people born in 1999.,MATCH (p:Person) WHERE p.born = 1999 RETURN p.name AS person;
Find all people born in 2012.,MATCH (p:Person) WHERE p.born = 2012 RETURN p.name AS person;
List all movies released in 2021.,MATCH (m:Movie) WHERE m.released = 2021 RETURN m.title AS title;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'The Shawshank Redemption'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN p.name AS actor;
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Who follows Harrison Ford?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Harrison Ford'}) RETURN follower.name AS follower;
List actors who have acted with Oscar Isaac.,MATCH (p1:Person {name: 'Oscar Isaac'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Find all people born in 1999.,MATCH (p:Person) WHERE p.born = 1999 RETURN p.name AS person;
Find all people born in 1982.,MATCH (p:Person) WHERE p.born = 1982 RETURN p.name AS person;
List actors who have acted with Ryan Reynolds.,MATCH (p1:Person {name: 'Ryan Reynolds'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Florence Pugh.,MATCH (p1:Person {name: 'Florence Pugh'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Florence Pugh acted in?,MATCH (:Person {name: 'Florence Pugh'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 2014.,MATCH (p:Person) WHERE p.born = 2014 RETURN p.name AS person;
Find all people born in 1971.,MATCH (p:Person) WHERE p.born = 1971 RETURN p.name AS person;
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List all movies released in 2006.,MATCH (m:Movie) WHERE m.released = 2006 RETURN m.title AS title;
List all movies released in 2008.,MATCH (m:Movie) WHERE m.released = 2008 RETURN m.title AS title;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Who directed the movie 'WALL·E'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'WALL·E'}) RETURN d.name AS director;
How many movies has George Clooney acted in?,MATCH (:Person {name: 'George Clooney'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
"Who directed the movie 'Monsters, Inc.'?","MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Monsters, Inc.'}) RETURN d.name AS director;"
Find all people born in 2013.,MATCH (p:Person) WHERE p.born = 2013 RETURN p.name AS person;
Which actors acted in 'Spirited Away'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Spirited Away'}) RETURN p.name AS actor;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
List all movies released in 1989.,MATCH (m:Movie) WHERE m.released = 1989 RETURN m.title AS title;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Who follows Meryl Streep?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Meryl Streep'}) RETURN follower.name AS follower;
Which actors acted in 'Fight Club'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Fight Club'}) RETURN p.name AS actor;
Find all people born in 1990.,MATCH (p:Person) WHERE p.born = 1990 RETURN p.name AS person;
List actors who have acted with Samuel L. Jackson.,MATCH (p1:Person {name: 'Samuel L. Jackson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'The Dark Knight'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Dark Knight'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Brie Larson acted in?,MATCH (:Person {name: 'Brie Larson'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2023.,MATCH (p:Person) WHERE p.born = 2023 RETURN p.name AS person;
Which actors acted in 'La La Land'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'La La Land'}) RETURN p.name AS actor;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
How many movies has Brad Pitt acted in?,MATCH (:Person {name: 'Brad Pitt'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Which actors acted in 'Star Wars: A New Hope'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Star Wars: A New Hope'}) RETURN p.name AS actor;
List actors who have acted with Zendaya.,MATCH (p1:Person {name: 'Zendaya'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Morgan Freeman acted in?,MATCH (:Person {name: 'Morgan Freeman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Tom Hanks.,MATCH (p1:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Find all people born in 2004.,MATCH (p:Person) WHERE p.born = 2004 RETURN p.name AS person;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
How many movies has John Boyega acted in?,MATCH (:Person {name: 'John Boyega'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 2007.,MATCH (p:Person) WHERE p.born = 2007 RETURN p.name AS person;
List actors who have acted with Rami Malek.,MATCH (p1:Person {name: 'Rami Malek'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Emma Stone acted in?,MATCH (:Person {name: 'Emma Stone'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Gone Girl'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gone Girl'}) RETURN d.name AS director;
List all movies released in 2009.,MATCH (m:Movie) WHERE m.released = 2009 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Daniel Kaluuya acted in?,MATCH (:Person {name: 'Daniel Kaluuya'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Princess Mononoke'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Princess Mononoke'}) RETURN d.name AS director;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
List actors who have acted with Brad Pitt.,MATCH (p1:Person {name: 'Brad Pitt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Inception'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Inception'}) RETURN p.name AS actor;
List all movies released in 1989.,MATCH (m:Movie) WHERE m.released = 1989 RETURN m.title AS title;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'The Revenant'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Revenant'}) RETURN p.name AS actor;
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Ana de Armas.,MATCH (p1:Person {name: 'Ana de Armas'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'The Wolf of Wall Street'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Wolf of Wall Street'}) RETURN p.name AS actor;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Find all people born in 1972.,MATCH (p:Person) WHERE p.born = 1972 RETURN p.name AS person;
How many movies has Matt Damon acted in?,MATCH (:Person {name: 'Matt Damon'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Who directed the movie 'Birdman'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Birdman'}) RETURN d.name AS director;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
How many movies has Timothee Chalamet acted in?,MATCH (:Person {name: 'Timothee Chalamet'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
How many movies has Natalie Portman acted in?,MATCH (:Person {name: 'Natalie Portman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'Forrest Gump'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Forrest Gump'}) RETURN d.name AS director;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Who directed the movie 'Princess Mononoke'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Princess Mononoke'}) RETURN d.name AS director;
Who follows Scarlett Johansson?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Scarlett Johansson'}) RETURN follower.name AS follower;
List all movies released in 2020.,MATCH (m:Movie) WHERE m.released = 2020 RETURN m.title AS title;
How many movies has Sandra Bullock acted in?,MATCH (:Person {name: 'Sandra Bullock'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'Toy Story'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Toy Story'}) RETURN p.name AS actor;
Who directed the movie 'The Shawshank Redemption'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Up'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Up'}) RETURN d.name AS director;
Who directed the movie 'Star Wars: A New Hope'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Star Wars: A New Hope'}) RETURN d.name AS director;
How many movies has Regina King acted in?,MATCH (:Person {name: 'Regina King'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'WALL·E'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'WALL·E'}) RETURN p.name AS actor;
List all movies released in 1987.,MATCH (m:Movie) WHERE m.released = 1987 RETURN m.title AS title;
Which actors acted in 'The Dark Knight'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Dark Knight'}) RETURN p.name AS actor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2021.,MATCH (p:Person) WHERE p.born = 2021 RETURN p.name AS person;
Which actors acted in 'Forrest Gump'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Forrest Gump'}) RETURN p.name AS actor;
List all movies released in 1978.,MATCH (m:Movie) WHERE m.released = 1978 RETURN m.title AS title;
List all movies released in 1992.,MATCH (m:Movie) WHERE m.released = 1992 RETURN m.title AS title;
Who directed the movie 'Up'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Up'}) RETURN d.name AS director;
How many movies has Scarlett Johansson acted in?,MATCH (:Person {name: 'Scarlett Johansson'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'La La Land'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'La La Land'}) RETURN p.name AS actor;
List all movies released in 1978.,MATCH (m:Movie) WHERE m.released = 1978 RETURN m.title AS title;
List actors who have acted with Brie Larson.,MATCH (p1:Person {name: 'Brie Larson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows Emma Stone?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Emma Stone'}) RETURN follower.name AS follower;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Who follows Leonardo DiCaprio?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Leonardo DiCaprio'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 1999.,MATCH (p:Person) WHERE p.born = 1999 RETURN p.name AS person;
List all movies released in 1973.,MATCH (m:Movie) WHERE m.released = 1973 RETURN m.title AS title;
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
List actors who have acted with John Boyega.,MATCH (p1:Person {name: 'John Boyega'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
